PlayerId,PlayerName,Height,Weight,Dob,Position
2020654979,Jake Aarts,177,75,1994-12-08,Forward
2018655703,Ryan Abbott,200,100,1991-06-25,Ruck
2002652211,Gary Ablett,182,87,1984-05-14,Forward
2014651814,Blake Acres,191,90,1995-10-07,Midfield
2025654137,Jed Adams,196,91,2004-05-14,Defender
2007653719,Leigh Adams,176,79,1988-04-06,Forward
2016652575,Marcus Adams,192,93,1993-06-30,Defender
2025656343,Oscar Adams,197,83,2003-07-23,Defender
2012656391,Taylor Adams,181,83,1993-09-20,Midfield
2004652814,Jed Adcock,183,83,1985-11-15,"Defender, Forward"
2006658504,Dylan Addison,184,84,1987-10-07,Forward
2015654090,Brendon Ah Chee,189,88,1993-12-21,Midfield
2016654616,Callum Ah Chee,182,78,1997-10-09,Defender
2018651635,Paul Ahern,183,85,1996-08-01,"Defender, Midfield"
2017651121,Ben Ainsworth,178,77,1998-02-10,Forward
2018658021,Brayden Ainsworth,184,80,1998-11-27,"Midfield, Forward"
2014659159,James Aish,183,80,1995-11-08,Defender
2022658947,Leek Aleer,195,85,2001-08-21,Defender
2025659430,Jasper Alger,183,77,2006-12-17,Forward
2016655002,Aliir Aliir,195,97,1994-09-05,Defender
2025653695,Bo Allan,191,85,2006-02-16,"Defender, Midfield"
2024651483,Edward Allan,194,82,2004-05-26,Midfield
2012659703,Jackson Allen,179,79,1993-04-14,Defender
2018659713,Oscar Allen,192,87,1999-03-19,Forward
2017654463,Jacob Allison,193,82,1998-04-16,Midfield
2020651689,Joel Amartey,197,96,1999-09-02,Ruck
2014655392,Patrick Ambrose,191,92,1991-09-01,Defender
2022655672,Jye Amiss,196,83,2003-07-31,Forward
2015653134,Karl Amon,181,71,1995-08-19,Midfield
2013651330,Jed Anderson,179,81,1994-02-02,Midfield
2020653600,Noah Anderson,188,86,2001-02-17,Midfield
2022652598,Mac Andrew,201,74,2003-12-04,Defender
2015656514,Harris Andrews,201,100,1996-12-11,Defender
2025657801,Cody Angove,182,82,2006-05-28,"Midfield, Forward"
2022659018,Ryan Angwin,185,80,2002-12-12,Midfield
2019652827,Noah Answerth,182,82,1999-08-06,Defender
2008657808,John Anthony,192,92,1988-01-19,Forward
2009655881,Liam Anthony,189,86,1987-09-09,Midfield
2014653706,Michael Apeness,199,101,1995-01-28,"Forward, Ruck"
2018659341,Flynn Appleby,187,82,1999-01-21,Defender
2022653660,Jackson Archer,185,75,2003-01-09,Defender
2008659471,Dennis Armfield,182,80,1986-12-22,Forward
2007654108,David Armitage,185,88,1988-06-16,"Midfield, Forward"
2025653529,Harry Armstrong,195,92,2006-06-14,Forward
2010658504,Tony Armstrong,183,72,1989-09-29,Defender
2013658050,Matt Arnot,180,86,1993-10-21,Midfield
2020651147,Lachie Ash,186,80,2001-06-21,"Defender, Midfield"
2014658541,Jason Ashby,187,77,1994-05-16,Defender
2025655762,Levi Ashcroft,179,75,2006-12-18,"Midfield, Forward"
2023658481,Will Ashcroft,182,78,2004-05-06,Midfield
2010658214,David Astbury,195,96,1991-02-26,Defender
2015652891,Rory Atkins,186,85,1994-07-12,Midfield
2019659412,Tom Atkins,180,86,1995-09-18,Forward
2017651348,Joe Atley,186,85,1998-08-04,Midfield
2011656008,Shaun Atley,189,86,1992-09-13,Defender
2016652024,Logan Austin,195,85,1995-07-08,Defender
2007655214,Mark Austin,193,93,1989-02-24,Defender
2012654717,Kurt Aylett,189,77,1992-04-02,Midfield
2012662089,Mark Baguley,178,81,1987-05-21,Forward
2009662364,Rohan Bail,183,82,1988-06-26,"Midfield, Forward"
2006669682,Max Bailey,206,101,1986-10-23,Ruck
2018665491,Zac Bailey,182,83,1999-09-23,"Defender, Midfield"
2018663038,Liam Baker,173,72,1998-01-27,"Defender, Midfield"
2019665482,Oskar Baker,184,82,1998-05-25,Midfield
2022666791,Kaine Baldwin,193,95,2002-05-30,Defender
2017661447,Harley Balic,187,82,1997-01-05,"Midfield, Forward"
2003663684,Luke Ball,184,83,1984-05-25,Midfield
2009661143,Hayden Ballantyne,175,77,1987-07-16,Forward
2018666487,Charlie Ballard,195,91,1999-07-23,Defender
2015663693,Jacob Ballard,188,89,1994-02-26,Midfield
2020661851,Connor Ballenden,200,101,1999-03-29,Forward
2019663723,Noah Balta,194,100,1999-10-23,"Forward, Ruck"
2025666838,Zac Banch,175,74,2003-07-21,Forward
2018667843,Bailey Banfield,190,92,1998-02-26,Forward
2010668479,Todd Banfield,183,83,1990-06-28,Forward
2023662597,Sam Banks,187,74,2003-04-02,Defender
2010664604,Michael Barlow,189,91,1987-12-18,"Midfield, Forward"
2023661734,Harry Barnett,203,98,2004-01-22,"Forward, Ruck"
2015662872,Tom Barrass,196,96,1995-10-08,Defender
2015663855,Jake Barrett,184,83,1995-11-08,Forward
2014667833,Dom Barry,179,78,1994-03-07,Midfield
2002669240,Jimmy Bartel,187,87,1983-12-04,"Defender, Midfield"
2006663560,Clint Bartram,181,83,1988-02-16,Defender
2010664900,Ryan Bastinac,186,82,1991-06-22,Midfield
2011668225,Jake Batchelor,188,88,1992-02-13,Defender
2006668068,Matthew Bate,192,93,1987-05-24,Forward
2000665614,Chance Bateman,175,75,1981-06-21,Midfield
2017662715,Josh Battle,193,92,1998-09-01,"Midfield, Forward"
2023663993,Jacob Bauer,192,86,2002-06-04,Forward
2022662353,Rhett Bazzo,195,86,2003-10-17,Defender
2011664174,Claye Beams,182,85,1991-09-01,Midfield
2009664745,Dayne Beams,187,88,1990-02-12,Midfield
